0;0;130;0.014;0.001;12.51;
1;0;130;0.013;0.001;12.42;
2;0;130;0.015;0.001;12.96;
3;0;130;0.015;0.001;12.93;
4;0;130;0.015;0.001;13.04;
5;0;130;0.016;0.001;13.26;
6;0;130;0.017;0.001;13.32;
7;0;130;0.017;0.001;13.52;
8;0;130;0.017;0.001;13.54;
9;0;130;0.017;0.001;13.55;
1;1;200;0.017;0.001;15.28;
0;1;200;0.017;0.001;15.36;
2;1;200;0.017;0.001;15.28;
3;1;200;0.017;0.001;15.28;
4;1;200;0.018;0.001;15.46;
5;1;200;0.018;0.001;15.46;
6;1;200;0.018;0.001;15.51;
7;1;200;0.017;0.001;15.35;
8;1;200;0.017;0.001;15.42;
9;1;200;0.017;0.001;15.36;
1;2;244;0.017;0.000;16.15;
0;2;244;0.017;0.000;16.13;
2;2;244;0.017;0.000;16.26;
3;2;244;0.017;0.000;16.27;
4;2;244;0.017;0.000;16.25;
5;2;244;0.017;0.000;16.29;
6;2;244;0.017;0.000;16.19;
7;2;244;0.017;0.000;16.11;
8;2;244;0.017;0.000;16.18;
9;2;244;0.017;0.000;16.23;
1;3;244;0.017;0.000;16.16;
0;3;244;0.017;0.000;16.24;
3;3;244;0.016;0.000;16.04;
2;3;244;0.017;0.000;16.18;
4;3;244;0.017;0.000;16.26;
7;3;244;0.017;0.000;16.09;
6;3;244;0.017;0.000;16.12;
5;3;244;0.017;0.000;16.27;
8;3;244;0.017;0.000;16.17;
9;3;244;0.017;0.000;16.16;
1;4;200;0.017;0.001;15.34;
0;4;200;0.017;0.001;15.33;
3;4;200;0.016;0.001;15.18;
2;4;200;0.017;0.001;15.24;
4;4;200;0.017;0.001;15.36;
7;4;200;0.017;0.001;15.32;
6;4;200;0.017;0.001;15.31;
5;4;200;0.017;0.001;15.27;
9;4;200;0.017;0.001;15.21;
8;4;200;0.018;0.001;15.44;
1;5;130;0.017;0.001;13.43;
0;5;130;0.017;0.001;13.44;
3;5;130;0.017;0.001;13.42;
2;5;130;0.017;0.001;13.41;
4;5;130;0.017;0.001;13.46;
6;5;130;0.016;0.001;13.31;
1;6;60;0.017;0.002;10.19;
7;5;130;0.017;0.001;13.49;
0;6;60;0.016;0.002;9.85;
5;5;130;0.017;0.001;13.55;
2;6;60;0.016;0.002;9.81;
1;7;16;0.017;0.006;4.39;
3;6;60;0.017;0.002;10.20;
9;5;130;0.017;0.001;13.38;
0;7;16;0.016;0.006;4.10;
8;5;130;0.017;0.001;13.36;
1;8;15;0.017;0.007;4.01;
3;7;16;0.016;0.006;4.10;
0;8;15;0.017;0.007;4.04;
2;7;16;0.018;0.006;4.52;
3;8;15;0.017;0.007;4.06;
2;8;15;0.016;0.007;3.93;
4;6;60;0.017;0.002;10.03;
6;6;60;0.017;0.002;10.05;
7;6;60;0.018;0.002;10.30;
4;7;16;0.016;0.006;4.20;
5;6;60;0.018;0.002;10.26;
6;7;16;0.017;0.006;4.28;
9;6;60;0.017;0.002;10.10;
7;7;16;0.018;0.006;4.52;
4;8;15;0.015;0.007;3.62;
8;6;60;0.017;0.002;10.14;
5;7;16;0.017;0.006;4.33;
6;8;15;0.017;0.007;3.94;
1;9;60;0.016;0.002;9.85;
0;9;60;0.017;0.002;10.01;
9;7;16;0.017;0.006;4.37;
7;8;15;0.015;0.007;3.63;
8;7;16;0.015;0.006;3.78;
5;8;15;0.013;0.007;3.02;
2;9;60;0.015;0.002;9.62;
3;9;60;0.016;0.002;9.92;
9;8;15;0.013;0.007;2.91;
8;8;15;0.012;0.007;2.64;
4;9;60;0.013;0.002;8.78;
6;9;60;0.012;0.002;8.46;
7;9;60;0.011;0.002;8.18;
5;9;60;0.011;0.002;8.12;
9;9;60;0.010;0.002;7.82;
8;9;60;0.010;0.002;7.82;
