0;0;30;0.284;0.003;19.30;
0;1;42;0.253;0.002;20.26;
0;2;49;0.249;0.002;20.87;
0;3;50;0.263;0.002;21.20;
0;4;42;0.256;0.002;20.31;
0;5;30;0.251;0.003;18.77;
0;6;18;0.293;0.006;17.22;
0;7;11;0.406;0.009;16.50;
0;8;10;0.261;0.010;14.17;
0;9;18;0.255;0.006;16.61;
1;0;30;0.285;0.003;19.31;
1;1;42;0.256;0.002;20.31;
1;2;49;0.248;0.002;20.85;
1;3;50;0.263;0.002;21.18;
1;4;42;0.256;0.002;20.31;
1;5;30;0.251;0.003;18.76;
1;6;18;0.343;0.006;17.91;
1;7;11;0.392;0.009;16.35;
1;8;10;0.262;0.010;14.19;
1;9;18;0.248;0.006;16.49;
2;0;30;0.283;0.003;19.29;
2;1;42;0.255;0.002;20.30;
2;2;49;0.251;0.002;20.90;
2;3;50;0.260;0.002;21.14;
2;4;42;0.255;0.002;20.30;
2;5;30;0.252;0.003;18.78;
2;6;18;0.352;0.006;18.02;
2;7;11;0.384;0.009;16.26;
2;8;10;0.263;0.010;14.20;
2;9;18;0.245;0.006;16.44;
3;0;30;0.283;0.003;19.29;
3;1;42;0.254;0.002;20.29;
3;2;49;0.253;0.002;20.94;
3;3;50;0.259;0.002;21.12;
3;4;42;0.255;0.002;20.29;
3;5;30;0.252;0.003;18.78;
3;6;18;0.264;0.006;16.77;
3;7;11;0.410;0.009;16.54;
3;8;10;0.267;0.010;14.27;
3;9;18;0.256;0.006;16.64;
4;0;30;0.286;0.003;19.34;
4;1;42;0.254;0.002;20.28;
4;2;49;0.252;0.002;20.91;
4;3;50;0.258;0.002;21.11;
4;4;42;0.255;0.002;20.29;
4;5;30;0.252;0.003;18.78;
4;6;18;0.278;0.006;16.99;
4;7;11;0.408;0.009;16.52;
4;8;10;0.262;0.010;14.18;
4;9;18;0.258;0.006;16.67;
5;0;30;0.283;0.003;19.30;
5;1;42;0.254;0.002;20.28;
5;2;49;0.252;0.002;20.91;
5;3;50;0.258;0.002;21.11;
5;4;42;0.255;0.002;20.30;
5;5;30;0.253;0.003;18.80;
5;6;18;0.373;0.006;18.27;
5;7;11;0.357;0.009;15.94;
5;8;10;0.255;0.010;14.07;
5;9;18;0.241;0.006;16.37;
6;0;30;0.283;0.003;19.29;
6;1;42;0.253;0.002;20.27;
6;2;49;0.252;0.002;20.92;
6;3;50;0.258;0.002;21.11;
6;4;42;0.254;0.002;20.28;
6;5;30;0.254;0.003;18.82;
6;6;18;0.369;0.006;18.23;
6;7;11;0.358;0.009;15.95;
6;8;10;0.262;0.010;14.19;
6;9;18;0.238;0.006;16.32;
7;0;30;0.280;0.003;19.24;
7;1;42;0.253;0.002;20.26;
7;2;49;0.252;0.002;20.92;
7;3;50;0.258;0.002;21.11;
7;4;42;0.255;0.002;20.30;
7;5;30;0.259;0.003;18.90;
7;6;18;0.186;0.006;15.26;
7;7;11;0.358;0.009;15.95;
7;8;10;0.339;0.010;15.30;
7;9;18;0.260;0.006;16.70;
8;0;30;0.278;0.003;19.22;
8;1;42;0.253;0.002;20.26;
8;2;49;0.252;0.002;20.92;
8;3;50;0.258;0.002;21.10;
8;4;42;0.257;0.002;20.32;
8;5;30;0.264;0.003;18.99;
8;6;18;0.266;0.006;16.80;
8;7;11;0.398;0.009;16.41;
8;8;10;0.268;0.010;14.29;
8;9;18;0.251;0.006;16.54;
9;0;30;0.277;0.003;19.20;
9;1;42;0.254;0.002;20.27;
9;2;49;0.251;0.002;20.89;
9;3;50;0.258;0.002;21.11;
9;4;42;0.256;0.002;20.31;
9;5;30;0.268;0.003;19.05;
9;6;18;0.277;0.006;16.98;
9;7;11;0.393;0.009;16.35;
