 Number of tacts (im units) = 1
 Number of massive (im units) = 100
 Command Line curl 192.168.222.19:9000 > /dev/null 2>&1
cycle , cPeriod , count , procDur , procTime , lI , spb
0,0,0,1.3762414E8,5000000.0,0.03633083556416774,-1.4397246137878665
0,0,1,8246480.0,5000000.0,0.6063193022962524,-0.21729860569326426
0,0,2,7939416.0,5000000.0,0.62976924247325,-0.2008185538460818
0,0,3,9133136.0,5000000.0,0.5474570837442911,-0.261649920366503
0,0,4,9487430.0,5000000.0,0.5270131110321763,-0.2781785802749347
0,0,5,8898619.0,5000000.0,0.5618849396743473,-0.2503526082396449
0,0,6,1.0502835E7,5000000.0,0.4760619394668201,-0.3223365384168481
0,0,7,1.1377405E7,5000000.0,0.43946752356974195,-0.35707321354946253
0,0,8,1.2248859E7,5000000.0,0.40820128634022157,-0.3891256310516488
0,0,9,9299897.0,5000000.0,0.537640363113699,-0.26950813426314757
0,0,10,1.1780742E7,5000000.0,0.4244214838080657,-0.37220264064453334
0,0,11,8137305.0,5000000.0,0.6144540483612203,-0.21151059005882553
0,0,12,7837269.0,5000000.0,0.6379773362379165,-0.19519474905570097
0,0,13,8308174.0,5000000.0,0.6018169576130687,-0.2205355791515654
0,0,14,9066958.0,5000000.0,0.5514528687570848,-0.25849159965789326
0,0,15,8405013.0,5000000.0,0.5948830775157635,-0.2255683851615291
0,0,16,8592878.0,5000000.0,0.5818772243711595,-0.23516864147217814
0,0,17,8495635.0,5000000.0,0.5885375254468913,-0.23022584110440486
0,0,18,8478339.0,5000000.0,0.5897381550796683,-0.22934077318115265
0,0,19,8160762.0,5000000.0,0.6126878838030076,-0.21276070796496846
0,1,0,1.0252624E7,3225806.0,0.31463223463573814,-0.5021967851861114
0,1,1,9160775.0,3225806.0,0.3521324342099877,-0.45329397109656916
0,1,2,1.0285621E7,3225806.0,0.3136228721629934,-0.5035922722249784
0,1,3,8912446.0,3225806.0,0.3619439601653687,-0.44135866613799923
0,1,4,8853740.0,3225806.0,0.36434388179458627,-0.4384885189212927
0,1,5,8021367.0,3225806.0,0.40215165320325075,-0.39561014161872254
0,1,6,8094002.0,3225806.0,0.3985427727840937,-0.3995250620037353
0,1,7,9041677.0,3225806.0,0.35677076276889785,-0.44761074310869503
0,1,8,8621160.0,3225806.0,0.3741730811166943,-0.42692745986913955
0,1,9,9226266.0,3225806.0,0.3496328850696479,-0.45638772611595446
0,1,10,1.1054871E7,3225806.0,0.2917995153448647,-0.5349154337695915
0,1,11,9288544.0,3225806.0,0.34728866009570497,-0.4593093973349753
0,1,12,8005191.0,3225806.0,0.40296427655505035,-0.3947334530715174
0,1,13,8368603.0,3225806.0,0.38546529211625885,-0.414014720391195
0,1,14,9047498.0,3225806.0,0.3565412227778332,-0.4478902504125294
0,1,15,9732419.0,3225806.0,0.33144956048439755,-0.4795825525382217
0,1,16,9894904.0,3225806.0,0.3260068010765946,-0.48677333968903513
0,1,17,1.0154432E7,3225806.0,0.3176746862847671,-0.498017390287237
0,1,18,8576317.0,3225806.0,0.3761295203990244,-0.4246625797834542
0,1,19,8185768.0,3225806.0,0.3940749359131605,-0.40442118639997143
0,1,20,1.1078911E7,3225806.0,0.29116634297360094,-0.5358588282107541
0,1,21,9082739.0,3225806.0,0.35515784390589666,-0.4495785891928862
0,1,22,8067732.0,3225806.0,0.3998405004033352,-0.39811321769453795
0,1,23,9653740.0,3225806.0,0.3341509093884857,-0.4760573526104246
0,1,24,9998755.0,3225806.0,0.32262076628540254,-0.49130768160639154
0,1,25,9145196.0,3225806.0,0.3527322979190386,-0.45255477235458647
0,1,26,8039362.0,3225806.0,0.4012514923447905,-0.3965833393449472
0,1,27,1.2452846E7,3225806.0,0.259041668065276,-0.5866303719986216
0,1,28,1.097108E7,3225806.0,0.294028117559985,-0.5316111365359675
0,1,29,1.0358288E7,3225806.0,0.31142269842275094,-0.5066497365318965
0,1,30,9710541.0,3225806.0,0.33219632150258155,-0.4786051809152551
0,2,0,8742661.0,2702702.0,0.3091395171332847,-0.509845475765002
0,2,1,9300057.0,2702702.0,0.29061133711331016,-0.5366874473342421
0,2,2,8009801.0,2702702.0,0.33742436297730743,-0.4718235633455304
0,2,3,7953878.0,2702702.0,0.3397967632895551,-0.4687807622891645
0,2,4,9794264.0,2702702.0,0.2759474320888226,-0.5591736430368166
0,2,5,1.2076655E7,2702702.0,0.2237955791566456,-0.6501484967479606
0,2,6,8838451.0,2702702.0,0.3057891026380075,-0.5145779955375256
0,2,7,1.0762295E7,2702702.0,0.2511269204198547,-0.6001067290906558
0,2,8,9181559.0,2702702.0,0.2943619923370312,-0.5311182662907287
0,2,9,8358804.0,2702702.0,0.32333597007418763,-0.49034597885341524
0,2,10,1.1006499E7,2702702.0,0.24555510339845577,-0.6098510354490684
0,2,11,9895890.0,2702702.0,0.273113585539047,-0.5636566961330829
0,2,12,9325660.0,2702702.0,0.2898134823701486,-0.5378814146455234
0,2,13,9258774.0,2702702.0,0.29190711426804455,-0.5347553203949805
0,2,14,8394795.0,2702702.0,0.3219497319469981,-0.4922119321621289
0,2,15,8502934.0,2702702.0,0.3178552250317361,-0.4977706450678812
0,2,16,8000929.0,2702702.0,0.3377985231464996,-0.4713422534942223
0,2,17,1.0532232E7,2702702.0,0.25661246353099704,-0.5907222539966107
0,2,18,1.0382117E7,2702702.0,0.2603228224070293,-0.5844877557826248
0,2,19,9104735.0,2702702.0,0.2968457621226757,-0.5274691468385612
0,2,20,9772629.0,2702702.0,0.2765583345075312,-0.558213248870505
0,2,21,9242307.0,2702702.0,0.2924272045929658,-0.533982227285234
0,2,22,8063763.0,2702702.0,0.33516634851495514,-0.47473959203433574
0,2,23,1.0932409E7,2702702.0,0.247219254237561,-0.6069177080027713
0,2,24,9031774.0,2702702.0,0.2992437587565854,-0.5239748987856836
0,2,25,9044308.0,2702702.0,0.29882905358817946,-0.524577180619611
0,2,26,1.0676426E7,2702702.0,0.2531466990919995,-0.5966277312258914
0,2,27,9157598.0,2702702.0,0.2951321951454956,-0.5299834119457641
0,2,28,9528494.0,2702702.0,0.28364419393033147,-0.5472261018219156
0,2,29,8011337.0,2702702.0,0.337359669178815,-0.47190683787025484
0,2,30,8730482.0,2702702.0,0.30957076596687333,-0.5092400582563539
0,2,31,1.1582292E7,2702702.0,0.23334776916347819,-0.6319963466735009
0,2,32,8030723.0,2702702.0,0.336545289882368,-0.47295648323057826
0,2,33,1.1528004E7,2702702.0,0.23444665702753054,-0.6299559554815295
0,2,34,1.0540457E7,2702702.0,0.2564122219748157,-0.5910612778672758
0,2,35,8975099.0,2702702.0,0.3011333913976882,-0.5212410847538848
0,2,36,7947318.0,2702702.0,0.34007724366887043,-0.46842242798991895
0,3,0,1.0485513E7,2631578.0,0.25097274687466414,-0.6003734359873037
0,3,1,8988096.0,2631578.0,0.29278481226724773,-0.5334514553445234
0,3,2,8100012.0,2631578.0,0.32488569152737057,-0.4882694152402574
0,3,3,1.0732782E7,2631578.0,0.24519066911076737,-0.6104960611960837
0,3,4,1.0106439E7,2631578.0,0.26038627453250346,-0.5843819120082148
0,3,5,8775781.0,2631578.0,0.2998682396472747,-0.5230695298268777
0,3,6,7902660.0,2631578.0,0.3329990155213561,-0.47755705044045077
0,3,7,8045279.0,2631578.0,0.32709592793487957,-0.4853248624369863
0,3,8,1.1598386E7,2631578.0,0.22689174166129666,-0.6441813111498761
0,3,9,8116331.0,2631578.0,0.32423246415159757,-0.4891435030716017
0,3,10,1.1921792E7,2631578.0,0.2207367818529295,-0.6561252933685522
0,3,11,8714112.0,2631578.0,0.301990380660703,-0.5200068904617592
0,3,12,9098116.0,2631578.0,0.2892442787056133,-0.5387352227000001
0,3,13,8053628.0,2631578.0,0.3267568355528713,-0.48577531847781913
0,3,14,8014021.0,2631578.0,0.32837173748359283,-0.48363422908950165
