 lev1 , cycle ,6, countPeriod ,2, amplitude ,109, srt ,579091124, mrt ,5312762.60550459
 lev1 , cycle ,6, countPeriod ,3, amplitude ,110, srt ,507268674, mrt ,4611533.4
 lev1 , cycle ,6, countPeriod ,4, amplitude ,102, srt ,481896387, mrt ,4724474.38235294
 lev1 , cycle ,6, countPeriod ,5, amplitude ,90, srt ,407338608, mrt ,4525984.53333333
 lev1 , cycle ,6, countPeriod ,6, amplitude ,78, srt ,347531247, mrt ,4455528.80769231
 lev1 , cycle ,6, countPeriod ,7, amplitude ,71, srt ,305310677, mrt ,4300150.38028169
 lev1 , cycle ,6, countPeriod ,8, amplitude ,70, srt ,214689251, mrt ,3066989.3
 lev1 , cycle ,6, countPeriod ,9, amplitude ,78, srt ,204119015, mrt ,2616910.44871795
 lev1 , cycle ,7, countPeriod ,0, amplitude ,90, srt ,356322003, mrt ,3959133.36666667
 lev1 , cycle ,7, countPeriod ,1, amplitude ,102, srt ,498219397, mrt ,4884503.89215686
 lev1 , cycle ,7, countPeriod ,2, amplitude ,109, srt ,569148990, mrt ,5221550.36697248
 lev1 , cycle ,7, countPeriod ,3, amplitude ,110, srt ,471199569, mrt ,4283632.44545455
 lev1 , cycle ,7, countPeriod ,4, amplitude ,102, srt ,519157164, mrt ,5089776.11764706
 lev1 , cycle ,7, countPeriod ,5, amplitude ,90, srt ,405055884, mrt ,4500620.93333333
 lev1 , cycle ,7, countPeriod ,6, amplitude ,78, srt ,357763164, mrt ,4586707.23076923
 lev1 , cycle ,7, countPeriod ,7, amplitude ,71, srt ,259177009, mrt ,3650380.4084507
 lev1 , cycle ,7, countPeriod ,8, amplitude ,70, srt ,200109442, mrt ,2858706.31428571
 lev1 , cycle ,7, countPeriod ,9, amplitude ,78, srt ,192202584, mrt ,2464135.69230769
 lev1 , cycle ,8, countPeriod ,0, amplitude ,90, srt ,389152297, mrt ,4323914.41111111
 lev1 , cycle ,8, countPeriod ,1, amplitude ,102, srt ,544533098, mrt ,5338559.78431373
 lev1 , cycle ,8, countPeriod ,2, amplitude ,109, srt ,570262683, mrt ,5231767.73394495
 lev1 , cycle ,8, countPeriod ,3, amplitude ,110, srt ,509729405, mrt ,4633903.68181818
 lev1 , cycle ,8, countPeriod ,4, amplitude ,102, srt ,495025321, mrt ,4853189.42156863
 lev1 , cycle ,8, countPeriod ,5, amplitude ,90, srt ,402878901, mrt ,4476432.23333333
 lev1 , cycle ,8, countPeriod ,6, amplitude ,78, srt ,316912803, mrt ,4062984.65384615
 lev1 , cycle ,8, countPeriod ,7, amplitude ,71, srt ,219433638, mrt ,3090614.61971831
 lev1 , cycle ,8, countPeriod ,8, amplitude ,70, srt ,191882463, mrt ,2741178.04285714
 lev1 , cycle ,8, countPeriod ,9, amplitude ,78, srt ,187811755, mrt ,2407843.01282051
 lev1 , cycle ,9, countPeriod ,0, amplitude ,90, srt ,439471367, mrt ,4883015.18888889
 lev1 , cycle ,9, countPeriod ,1, amplitude ,102, srt ,585273229, mrt ,5737972.83333333
 lev1 , cycle ,9, countPeriod ,2, amplitude ,109, srt ,500529792, mrt ,4592016.44036697
 lev1 , cycle ,9, countPeriod ,3, amplitude ,110, srt ,522581031, mrt ,4750736.64545455
 lev1 , cycle ,9, countPeriod ,4, amplitude ,102, srt ,545747266, mrt ,5350463.39215686
 lev1 , cycle ,9, countPeriod ,5, amplitude ,90, srt ,397919948, mrt ,4421332.75555556
 lev1 , cycle ,9, countPeriod ,6, amplitude ,78, srt ,276812471, mrt ,3548877.83333333
 lev1 , cycle ,9, countPeriod ,7, amplitude ,71, srt ,191032330, mrt ,2690596.1971831
 lev1 , cycle ,9, countPeriod ,8, amplitude ,70, srt ,175433901, mrt ,2506198.58571429
 lev1 , cycle ,9, countPeriod ,9, amplitude ,78, srt ,275788489, mrt ,3535749.85897436
