 Number of tacts (im units) = 10
 Signal_Sampling_Rate (im Hz) = 10
 Period Time (im ms) = 100
 Command Line ping 192.168.1.1 > /dev/null 2>&1
 lev1 ; cycle ; 9 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 504 ; mrt ; 7.0243053644552536
 lev1 ; cycle ; 6 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 437 ; mrt ; 6.404814369704218
 lev1 ; cycle ; 3 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 390 ; mrt ; 5.910646070264992
 lev1 ; cycle ; 1 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 374 ; mrt ; 5.728716022004802
 lev1 ; cycle ; 2 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 373 ; mrt ; 5.717088318086876
 lev1 ; cycle ; 4 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 438 ; mrt ; 6.414741105040996
 lev1 ; cycle ; 7 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 479 ; mrt ; 6.803355134145632
 lev1 ; cycle ; 0 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 341 ; mrt ; 5.327543789924977
 lev1 ; cycle ; 8 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 479 ; mrt ; 6.803355134145632
 lev1 ; cycle ; 1 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 350 ; mrt ; 5.440680443502757
 lev1 ; cycle ; 5 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 476 ; mrt ; 6.776069527204931
 lev1 ; cycle ; 3 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 375 ; mrt ; 5.740312677277188
 lev1 ; cycle ; 6 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 430 ; mrt ; 6.3346845557958655
 lev1 ; cycle ; 9 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 473 ; mrt ; 6.748611407378116
 lev1 ; cycle ; 2 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 328 ; mrt ; 5.158738437116791
 lev1 ; cycle ; 4 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 332 ; mrt ; 5.2113808370403625
 lev1 ; cycle ; 7 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 378 ; mrt ; 5.774917998372253
 lev1 ; cycle ; 0 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 323 ; mrt ; 5.092025223311029
 lev1 ; cycle ; 1 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 319 ; mrt ; 5.037906830571811
 lev1 ; cycle ; 3 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 329 ; mrt ; 5.171958979499744
 lev1 ; cycle ; 5 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 365 ; mrt ; 5.622928644564747
