 Number of tacts (im units) = 1
 Number of massive (im units) = 100
 Command Line curl 192.168.222.3:9000 > /dev/null 2>&1
cycle , cPeriod , count , procDur , procTime , lI , spb
0,0,0,1.8999194E7,2.0E7,1.0526762345813196,0.02229481833100411
0,0,1,1.8324089E7,2.0E7,1.091459444450417,0.038007603188890494
0,0,2,1.2861946E7,2.0E7,1.5549746515807172,0.1917233137690634
0,0,3,1.2514187E7,2.0E7,1.598186122678205,0.20362735529406828
0,0,4,1.0454608E7,2.0E7,1.9130320333387918,0.28172224226242265
0,1,0,9314923.0,1.4285714E7,1.533637368768373,0.18572268206365444
0,1,1,1.1190249E7,1.4285714E7,1.2766216372843893,0.10606220095355406
0,1,2,1.1418593E7,1.4285714E7,1.2510923193426722,0.09728935789628099
0,1,3,1.0437019E7,1.4285714E7,1.3687542391175105,0.13632547722345717
0,1,4,1.0758117E7,1.4285714E7,1.3279009700303501,0.12316568815472635
0,1,5,9746737.0,1.4285714E7,1.4656919541380875,0.16604270381423158
0,1,6,1.6485913E7,1.4285714E7,0.8665406641415614,-0.06221105234081469
0,2,0,1.0317183E7,1.1111111E7,1.0769520129671055,0.032196352352865845
0,2,1,1.1741271E7,1.1111111E7,0.9463294902229921,-0.023957625890533234
0,2,2,1.2092578E7,1.1111111E7,0.9188372404957817,-0.03676141115434724
0,2,3,9737356.0,1.1111111E7,1.141080905329948,0.05731643801390674
0,2,4,1.1107994E7,1.1111111E7,1.0002806087219709,1.2184972427761705E-4
0,2,5,1.046386E7,1.1111111E7,1.0618558543405587,0.026065565791265843
0,2,6,9541420.0,1.1111111E7,1.1645133533583052,0.06614447291069672
0,2,7,1.1994783E7,1.1111111E7,0.9263286380420555,-0.03323490924951703
0,2,8,1.0808098E7,1.1111111E7,1.0280357376478266,0.012008212318275858
0,3,0,9424143.0,1.1111111E7,1.1790049238429425,0.07151561882991053
0,3,1,9170889.0,1.1111111E7,1.2115631319929834,0.083346049230296
0,3,2,9976427.0,1.1111111E7,1.1137365110775632,0.046782457157114106
0,3,3,9870250.0,1.1111111E7,1.1257172817304526,0.05142933332059069
0,3,4,1.0518332E7,1.1111111E7,1.0563567493401045,0.0238106114789842
0,3,5,1.0042426E7,1.1111111E7,1.1064170151714336,0.04391884600421971
